	Unnamed: 0	GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Measure_Name	Data_Period_Business_Key	Estimated_Value	Unit_of_Measure_Code
26	26	37119	Mecklenburg	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-13	2.0	Count
27	27	37133	Onslow	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-13	1.0	Count
28	28	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-13	9.0	Count
29	29	37191	Wayne	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-13	1.0	Count
30	30	37019	Brunswick	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	1.0	Count
31	31	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	1.0	Count
32	32	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	1.0	Count
33	33	37049	Craven	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	1.0	Count
34	34	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	2.0	Count
35	35	37085	Harnett	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	2.0	Count
36	36	37101	Johnston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	2.0	Count
37	37	37119	Mecklenburg	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	2.0	Count
38	38	37133	Onslow	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	1.0	Count
39	39	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	11.0	Count
40	40	37191	Wayne	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-14	1.0	Count
41	41	37019	Brunswick	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	1.0	Count
42	42	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	1.0	Count
43	43	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	1.0	Count
44	44	37049	Craven	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	1.0	Count
45	45	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	2.0	Count
46	46	37085	Harnett	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	2.0	Count
47	47	37101	Johnston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	2.0	Count
48	48	37119	Mecklenburg	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	4.0	Count
49	49	37133	Onslow	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	1.0	Count
50	50	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	14.0	Count
51	51	37189	Watauga	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	1.0	Count
52	52	37191	Wayne	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	1.0	Count
53	53	37195	Wilson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-15	1.0	Count
54	54	37019	Brunswick	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	1.0	Count
55	55	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	1.0	Count
56	56	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	1.0	Count
57	57	37049	Craven	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	1.0	Count
58	58	37063	Durham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	1.0	Count
59	59	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	2.0	Count
60	60	37085	Harnett	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	2.0	Count
61	61	37101	Johnston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	2.0	Count
62	62	37119	Mecklenburg	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	4.0	Count
63	63	37133	Onslow	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	1.0	Count
64	64	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	15.0	Count
65	65	37189	Watauga	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	1.0	Count
66	66	37191	Wayne	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	1.0	Count
67	67	37195	Wilson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-16	1.0	Count
68	68	37019	Brunswick	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	1.0	Count
69	69	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	1.0	Count
70	70	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	1.0	Count
71	71	37049	Craven	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	1.0	Count
72	72	37063	Durham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	1.0	Count
73	73	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	2.0	Count
74	74	37085	Harnett	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	3.0	Count
75	75	37097	Iredell	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	1.0	Count
76	76	37101	Johnston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	2.0	Count
77	77	37119	Mecklenburg	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	7.0	Count
78	78	37133	Onslow	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	1.0	Count
79	79	37163	Sampson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	1.0	Count
80	80	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	17.0	Count
81	81	37189	Watauga	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	1.0	Count
82	82	37191	Wayne	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	1.0	Count
83	83	37195	Wilson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-17	1.0	Count
84	84	37019	Brunswick	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
85	85	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
86	86	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	3.0	Count
87	87	37049	Craven	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
88	88	37063	Durham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	12.0	Count
89	89	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	2.0	Count
90	90	37071	Gaston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
91	91	37081	Guilford	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
92	92	37085	Harnett	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	4.0	Count
93	93	37093	Hoke	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
94	94	37097	Iredell	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
95	95	37101	Johnston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	2.0	Count
96	96	37109	Lincoln	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
97	97	37119	Mecklenburg	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	11.0	Count
98	98	37125	Moore	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
99	99	37129	New Hanover	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
100	100	37133	Onslow	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
101	101	37163	Sampson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
102	102	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	17.0	Count
103	103	37189	Watauga	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
104	104	37191	Wayne	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
105	105	37195	Wilson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-18	1.0	Count
106	106	37019	Brunswick	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	2.0	Count
107	107	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	1.0	Count
108	108	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	3.0	Count
109	109	37049	Craven	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	1.0	Count
110	110	37063	Durham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	32.0	Count
111	111	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	2.0	Count
112	112	37071	Gaston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	1.0	Count
113	113	37081	Guilford	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	2.0	Count
114	114	37085	Harnett	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	6.0	Count
115	115	37093	Hoke	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	1.0	Count
116	116	37097	Iredell	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	2.0	Count
117	117	37101	Johnston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	2.0	Count
118	118	37109	Lincoln	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	1.0	Count
119	119	37119	Mecklenburg	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	13.0	Count
120	120	37125	Moore	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	2.0	Count
121	121	37129	New Hanover	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	1.0	Count
122	122	37133	Onslow	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	1.0	Count
123	123	37163	Sampson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	1.0	Count
124	124	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	25.0	Count
125	125	37189	Watauga	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	2.0	Count
126	126	37191	Wayne	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	1.0	Count
127	127	37195	Wilson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-19	2.0	Count
128	128	37019	Brunswick	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	4.0	Count
129	129	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	2.0	Count
130	130	37031	Carteret	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
131	131	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	3.0	Count
132	132	37049	Craven	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	2.0	Count
133	133	37057	Davidson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
134	134	37063	Durham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	33.0	Count
135	135	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	7.0	Count
136	136	37069	Franklin	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	4.0	Count
137	137	37071	Gaston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
138	138	37081	Guilford	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	4.0	Count
139	139	37085	Harnett	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	6.0	Count
140	140	37093	Hoke	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
141	141	37097	Iredell	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	2.0	Count
142	142	37101	Johnston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	2.0	Count
143	143	37109	Lincoln	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
144	144	37119	Mecklenburg	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	28.0	Count
145	145	37125	Moore	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	2.0	Count
146	146	37129	New Hanover	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
147	147	37133	Onslow	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
148	148	37135	Orange	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	3.0	Count
149	149	37139	Pasquotank	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
150	150	37147	Pitt	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
151	151	37159	Rowan	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
152	152	37163	Sampson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
153	153	37167	Stanly	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
154	154	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	25.0	Count
155	155	37189	Watauga	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	2.0	Count
156	156	37191	Wayne	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	1.0	Count
157	157	37195	Wilson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-20	2.0	Count
158	158	37019	Brunswick	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	4.0	Count
159	159	37021	Buncombe	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
160	160	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	2.0	Count
161	161	37031	Carteret	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
162	162	37035	Catawba	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
163	163	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	3.0	Count
164	164	37049	Craven	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	2.0	Count
165	165	37057	Davidson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
166	166	37063	Durham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	33.0	Count
167	167	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	8.0	Count
168	168	37069	Franklin	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	4.0	Count
169	169	37071	Gaston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
170	170	37081	Guilford	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	4.0	Count
171	171	37085	Harnett	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	6.0	Count
172	172	37093	Hoke	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
173	173	37097	Iredell	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	2.0	Count
174	174	37101	Johnston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	2.0	Count
175	175	37109	Lincoln	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
176	176	37119	Mecklenburg	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	41.0	Count
177	177	37125	Moore	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	2.0	Count
178	178	37129	New Hanover	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
179	179	37133	Onslow	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
180	180	37135	Orange	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	3.0	Count
181	181	37139	Pasquotank	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
182	182	37147	Pitt	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
183	183	37159	Rowan	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
184	184	37163	Sampson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
185	185	37167	Stanly	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
186	186	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	49.0	Count
187	187	37189	Watauga	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	2.0	Count
188	188	37191	Wayne	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	1.0	Count
189	189	37195	Wilson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-21	2.0	Count
190	190	37019	Brunswick	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	5.0	Count
191	191	37021	Buncombe	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
192	192	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	4.0	Count
193	193	37031	Carteret	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	2.0	Count
194	194	37035	Catawba	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
195	195	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	3.0	Count
196	196	37039	Cherokee	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	4.0	Count
197	197	37049	Craven	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	2.0	Count
198	198	37051	Cumberland	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	2.0	Count
199	199	37057	Davidson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
200	200	37059	Davie	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
201	201	37063	Durham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	40.0	Count
202	202	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	12.0	Count
203	203	37069	Franklin	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	4.0	Count
204	204	37071	Gaston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	3.0	Count
205	205	37077	Granville	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
206	206	37081	Guilford	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	11.0	Count
207	207	37085	Harnett	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	8.0	Count
208	208	37089	Henderson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
209	209	37093	Hoke	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
210	210	37097	Iredell	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	6.0	Count
211	211	37101	Johnston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	3.0	Count
212	212	37105	Lee	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
213	213	37109	Lincoln	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
214	214	37119	Mecklenburg	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	66.0	Count
215	215	37125	Moore	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	2.0	Count
216	216	37127	Nash	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
217	217	37129	New Hanover	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	3.0	Count
218	218	37133	Onslow	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
219	219	37135	Orange	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	5.0	Count
220	220	37139	Pasquotank	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
221	221	37147	Pitt	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	3.0	Count
222	222	37155	Robeson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
223	223	37159	Rowan	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	2.0	Count
224	224	37163	Sampson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
225	225	37165	Scotland	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
226	226	37167	Stanly	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
227	227	37179	Union	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	9.0	Count
228	228	37183	Wake	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	49.0	Count
229	229	37189	Watauga	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	2.0	Count
230	230	37191	Wayne	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	1.0	Count
231	231	37195	Wilson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-22	2.0	Count
232	232	37001	Alamance	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	3.0	Count
233	233	37019	Brunswick	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	5.0	Count
234	234	37021	Buncombe	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	1.0	Count
235	235	37025	Cabarrus	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	6.0	Count
236	236	37031	Carteret	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	4.0	Count
237	237	37035	Catawba	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	1.0	Count
238	238	37037	Chatham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	3.0	Count
239	239	37039	Cherokee	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	4.0	Count
240	240	37049	Craven	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	2.0	Count
241	241	37051	Cumberland	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	2.0	Count
242	242	37057	Davidson	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	2.0	Count
243	243	37059	Davie	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	1.0	Count
244	244	37063	Durham	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	40.0	Count
245	245	37067	Forsyth	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	12.0	Count
246	246	37069	Franklin	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	4.0	Count
247	247	37071	Gaston	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	3.0	Count
248	248	37077	Granville	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	1.0	Count
249	249	37081	Guilford	NYTI_CNTY_COV01	COVID-19 Confirmed Cases		2020-03-23	11.0	Count
