	LocationType	Location	Race	TimeFrame	DataFormat	Data
67	County	Alamance	Non-Hispanic African American	2013	Rate	17.6
68	County	Alamance	Non-Hispanic American Indian	2013	Rate	0.0
69	County	Alamance	Other Non-Hispanic	2013	Rate	34.5
70	County	Alamance	Hispanic	2013	Rate	2.8
71	County	Alamance	Total	2013	Rate	10.1
72	County	Alamance	Non-Hispanic White	2014	Number	10.0
73	County	Alamance	Non-Hispanic African American	2014	Number	6.0
74	County	Alamance	Non-Hispanic American Indian	2014	Number	0.0
75	County	Alamance	Other Non-Hispanic	2014	Number	0.0
76	County	Alamance	Hispanic	2014	Number	3.0
77	County	Alamance	Total	2014	Number	19.0
78	County	Alamance	Non-Hispanic White	2014	Rate	10.2
79	County	Alamance	Non-Hispanic African American	2014	Rate	15.5
80	County	Alamance	Non-Hispanic American Indian	2014	Rate	0.0
81	County	Alamance	Other Non-Hispanic	2014	Rate	0.0
82	County	Alamance	Hispanic	2014	Rate	8.5
83	County	Alamance	Total	2014	Rate	10.8
84	County	Alamance	Non-Hispanic White	2015	Number	4.0
85	County	Alamance	Non-Hispanic African American	2015	Number	7.0
86	County	Alamance	Non-Hispanic American Indian	2015	Number	0.0
87	County	Alamance	Other Non-Hispanic	2015	Number	0.0
88	County	Alamance	Hispanic	2015	Number	3.0
89	County	Alamance	Total	2015	Number	14.0
90	County	Alamance	Non-Hispanic White	2015	Rate	4.1
91	County	Alamance	Non-Hispanic African American	2015	Rate	17.8
92	County	Alamance	Non-Hispanic American Indian	2015	Rate	0.0
93	County	Alamance	Other Non-Hispanic	2015	Rate	0.0
94	County	Alamance	Hispanic	2015	Rate	7.9
95	County	Alamance	Total	2015	Rate	7.9
96	County	Alamance	Non-Hispanic White	2016	Number	6.0
97	County	Alamance	Non-Hispanic African American	2016	Number	3.0
98	County	Alamance	Non-Hispanic American Indian	2016	Number	0.0
99	County	Alamance	Other Non-Hispanic	2016	Number	0.0
100	County	Alamance	Hispanic	2016	Number	4.0
101	County	Alamance	Total	2016	Number	13.0
102	County	Alamance	Non-Hispanic White	2016	Rate	5.9
103	County	Alamance	Non-Hispanic African American	2016	Rate	7.5
104	County	Alamance	Non-Hispanic American Indian	2016	Rate	0.0
105	County	Alamance	Other Non-Hispanic	2016	Rate	0.0
106	County	Alamance	Hispanic	2016	Rate	10.2
107	County	Alamance	Total	2016	Rate	7.0
108	County	Alamance	Non-Hispanic White	2017	Number	3.0
109	County	Alamance	Non-Hispanic White	2017	Rate	2.9
110	County	Alamance	Non-Hispanic African American	2017	Number	6.0
111	County	Alamance	Non-Hispanic African American	2017	Rate	13.7
112	County	Alamance	Non-Hispanic American Indian	2017	Number	0.0
113	County	Alamance	Non-Hispanic American Indian	2017	Rate	0.0
114	County	Alamance	Other Non-Hispanic	2017	Number	0.0
115	County	Alamance	Other Non-Hispanic	2017	Rate	0.0
116	County	Alamance	Hispanic	2017	Number	1.0
117	County	Alamance	Hispanic	2017	Rate	2.4
118	County	Alamance	Total	2017	Number	10.0
119	County	Alamance	Total	2017	Rate	5.2
120	County	Alexander	Non-Hispanic White	2013	Number	1.0
121	County	Alexander	Non-Hispanic African American	2013	Number	0.0
122	County	Alexander	Non-Hispanic American Indian	2013	Number	0.0
123	County	Alexander	Other Non-Hispanic	2013	Number	0.0
124	County	Alexander	Hispanic	2013	Number	0.0
125	County	Alexander	Total	2013	Number	1.0
126	County	Alexander	Non-Hispanic White	2013	Rate	3.2
127	County	Alexander	Non-Hispanic African American	2013	Rate	0.0
128	County	Alexander	Non-Hispanic American Indian	2013	Rate	0.0
129	County	Alexander	Other Non-Hispanic	2013	Rate	0.0
130	County	Alexander	Hispanic	2013	Rate	0.0
131	County	Alexander	Total	2013	Rate	2.8
132	County	Alexander	Non-Hispanic White	2014	Number	1.0
133	County	Alexander	Non-Hispanic African American	2014	Number	0.0
134	County	Alexander	Non-Hispanic American Indian	2014	Number	0.0
135	County	Alexander	Other Non-Hispanic	2014	Number	0.0
136	County	Alexander	Hispanic	2014	Number	0.0
137	County	Alexander	Total	2014	Number	1.0
138	County	Alexander	Non-Hispanic White	2014	Rate	3.4
139	County	Alexander	Non-Hispanic African American	2014	Rate	0.0
140	County	Alexander	Non-Hispanic American Indian	2014	Rate	0.0
141	County	Alexander	Other Non-Hispanic	2014	Rate	0.0
142	County	Alexander	Hispanic	2014	Rate	0.0
143	County	Alexander	Total	2014	Rate	2.8
144	County	Alexander	Non-Hispanic White	2015	Number	1.0
145	County	Alexander	Non-Hispanic African American	2015	Number	0.0
146	County	Alexander	Non-Hispanic American Indian	2015	Number	0.0
147	County	Alexander	Other Non-Hispanic	2015	Number	0.0
148	County	Alexander	Hispanic	2015	Number	0.0
149	County	Alexander	Total	2015	Number	1.0
150	County	Alexander	Non-Hispanic White	2015	Rate	3.3
151	County	Alexander	Non-Hispanic African American	2015	Rate	0.0
152	County	Alexander	Non-Hispanic American Indian	2015	Rate	0.0
153	County	Alexander	Other Non-Hispanic	2015	Rate	0.0
154	County	Alexander	Hispanic	2015	Rate	0.0
155	County	Alexander	Total	2015	Rate	2.9
156	County	Alexander	Non-Hispanic White	2016	Number	5.0
157	County	Alexander	Non-Hispanic African American	2016	Number	0.0
158	County	Alexander	Non-Hispanic American Indian	2016	Number	0.0
159	County	Alexander	Other Non-Hispanic	2016	Number	1.0
160	County	Alexander	Hispanic	2016	Number	0.0
161	County	Alexander	Total	2016	Number	6.0
162	County	Alexander	Non-Hispanic White	2016	Rate	16.9
163	County	Alexander	Non-Hispanic African American	2016	Rate	0.0
164	County	Alexander	Non-Hispanic American Indian	2016	Rate	0.0
165	County	Alexander	Other Non-Hispanic	2016	Rate	125.0
166	County	Alexander	Hispanic	2016	Rate	0.0
167	County	Alexander	Total	2016	Rate	17.5
168	County	Alexander	Non-Hispanic White	2017	Number	2.0
169	County	Alexander	Non-Hispanic White	2017	Rate	6.1
170	County	Alexander	Non-Hispanic African American	2017	Number	0.0
171	County	Alexander	Non-Hispanic African American	2017	Rate	0.0
172	County	Alexander	Non-Hispanic American Indian	2017	Number	0.0
173	County	Alexander	Non-Hispanic American Indian	2017	Rate	0.0
174	County	Alexander	Other Non-Hispanic	2017	Number	1.0
175	County	Alexander	Other Non-Hispanic	2017	Rate	111.1
176	County	Alexander	Hispanic	2017	Number	1.0
177	County	Alexander	Hispanic	2017	Rate	40.0
178	County	Alexander	Total	2017	Number	4.0
179	County	Alexander	Total	2017	Rate	10.6
180	County	Alleghany	Non-Hispanic White	2013	Number	0.0
181	County	Alleghany	Non-Hispanic African American	2013	Number	0.0
182	County	Alleghany	Non-Hispanic American Indian	2013	Number	0.0
183	County	Alleghany	Other Non-Hispanic	2013	Number	0.0
184	County	Alleghany	Hispanic	2013	Number	0.0
185	County	Alleghany	Total	2013	Number	0.0
186	County	Alleghany	Non-Hispanic White	2013	Rate	0.0
187	County	Alleghany	Non-Hispanic African American	2013	Rate	0.0
188	County	Alleghany	Non-Hispanic American Indian	2013	Rate	0.0
189	County	Alleghany	Other Non-Hispanic	2013	Rate	0.0
190	County	Alleghany	Hispanic	2013	Rate	0.0
191	County	Alleghany	Total	2013	Rate	0.0
192	County	Alleghany	Non-Hispanic White	2014	Number	0.0
193	County	Alleghany	Non-Hispanic African American	2014	Number	0.0
194	County	Alleghany	Non-Hispanic American Indian	2014	Number	0.0
195	County	Alleghany	Other Non-Hispanic	2014	Number	0.0
196	County	Alleghany	Hispanic	2014	Number	0.0
197	County	Alleghany	Total	2014	Number	0.0
198	County	Alleghany	Non-Hispanic White	2014	Rate	0.0
199	County	Alleghany	Non-Hispanic African American	2014	Rate	0.0
200	County	Alleghany	Non-Hispanic American Indian	2014	Rate	0.0
201	County	Alleghany	Other Non-Hispanic	2014	Rate	0.0
202	County	Alleghany	Hispanic	2014	Rate	0.0
203	County	Alleghany	Total	2014	Rate	0.0
204	County	Alleghany	Non-Hispanic White	2015	Number	0.0
205	County	Alleghany	Non-Hispanic African American	2015	Number	0.0
206	County	Alleghany	Non-Hispanic American Indian	2015	Number	0.0
207	County	Alleghany	Other Non-Hispanic	2015	Number	0.0
208	County	Alleghany	Hispanic	2015	Number	1.0
209	County	Alleghany	Total	2015	Number	1.0
210	County	Alleghany	Non-Hispanic White	2015	Rate	0.0
211	County	Alleghany	Non-Hispanic African American	2015	Rate	0.0
212	County	Alleghany	Non-Hispanic American Indian	2015	Rate	0.0
213	County	Alleghany	Other Non-Hispanic	2015	Rate	0.0
214	County	Alleghany	Hispanic	2015	Rate	45.5
215	County	Alleghany	Total	2015	Rate	9.6
216	County	Alleghany	Non-Hispanic White	2016	Number	0.0
217	County	Alleghany	Non-Hispanic African American	2016	Number	0.0
218	County	Alleghany	Non-Hispanic American Indian	2016	Number	0.0
219	County	Alleghany	Other Non-Hispanic	2016	Number	0.0
220	County	Alleghany	Hispanic	2016	Number	0.0
221	County	Alleghany	Total	2016	Number	0.0
222	County	Alleghany	Non-Hispanic White	2016	Rate	0.0
223	County	Alleghany	Non-Hispanic African American	2016	Rate	0.0
224	County	Alleghany	Non-Hispanic American Indian	2016	Rate	0.0
225	County	Alleghany	Other Non-Hispanic	2016	Rate	0.0
226	County	Alleghany	Hispanic	2016	Rate	0.0
227	County	Alleghany	Total	2016	Rate	0.0
228	County	Alleghany	Non-Hispanic White	2017	Number	0.0
229	County	Alleghany	Non-Hispanic White	2017	Rate	0.0
230	County	Alleghany	Non-Hispanic African American	2017	Number	0.0
231	County	Alleghany	Non-Hispanic African American	2017	Rate	0.0
232	County	Alleghany	Non-Hispanic American Indian	2017	Number	0.0
233	County	Alleghany	Non-Hispanic American Indian	2017	Rate	0.0
234	County	Alleghany	Other Non-Hispanic	2017	Number	0.0
235	County	Alleghany	Other Non-Hispanic	2017	Rate	0.0
236	County	Alleghany	Hispanic	2017	Number	0.0
237	County	Alleghany	Hispanic	2017	Rate	0.0
238	County	Alleghany	Total	2017	Number	0.0
239	County	Alleghany	Total	2017	Rate	0.0
240	County	Anson	Non-Hispanic White	2013	Number	1.0
241	County	Anson	Non-Hispanic African American	2013	Number	4.0
242	County	Anson	Non-Hispanic American Indian	2013	Number	0.0
243	County	Anson	Other Non-Hispanic	2013	Number	0.0
244	County	Anson	Hispanic	2013	Number	0.0
245	County	Anson	Total	2013	Number	5.0
246	County	Anson	Non-Hispanic White	2013	Rate	10.5
247	County	Anson	Non-Hispanic African American	2013	Rate	27.0
248	County	Anson	Non-Hispanic American Indian	2013	Rate	0.0
249	County	Anson	Other Non-Hispanic	2013	Rate	0.0
250	County	Anson	Hispanic	2013	Rate	0.0
251	County	Anson	Total	2013	Rate	19.1
252	County	Anson	Non-Hispanic White	2014	Number	2.0
253	County	Anson	Non-Hispanic African American	2014	Number	0.0
254	County	Anson	Non-Hispanic American Indian	2014	Number	0.0
255	County	Anson	Other Non-Hispanic	2014	Number	0.0
256	County	Anson	Hispanic	2014	Number	0.0
257	County	Anson	Total	2014	Number	2.0
258	County	Anson	Non-Hispanic White	2014	Rate	20.8
259	County	Anson	Non-Hispanic African American	2014	Rate	0.0
260	County	Anson	Non-Hispanic American Indian	2014	Rate	0.0
261	County	Anson	Other Non-Hispanic	2014	Rate	0.0
262	County	Anson	Hispanic	2014	Rate	0.0
263	County	Anson	Total	2014	Rate	8.4
264	County	Anson	Non-Hispanic White	2015	Number	0.0
265	County	Anson	Non-Hispanic African American	2015	Number	2.0
266	County	Anson	Non-Hispanic American Indian	2015	Number	0.0
267	County	Anson	Other Non-Hispanic	2015	Number	2.0
268	County	Anson	Hispanic	2015	Number	0.0
269	County	Anson	Total	2015	Number	4.0
270	County	Anson	Non-Hispanic White	2015	Rate	0.0
271	County	Anson	Non-Hispanic African American	2015	Rate	15.5
272	County	Anson	Non-Hispanic American Indian	2015	Rate	0.0
273	County	Anson	Other Non-Hispanic	2015	Rate	400.0
274	County	Anson	Hispanic	2015	Rate	0.0
275	County	Anson	Total	2015	Rate	17.4
276	County	Anson	Non-Hispanic White	2016	Number	0.0
277	County	Anson	Non-Hispanic African American	2016	Number	2.0
278	County	Anson	Non-Hispanic American Indian	2016	Number	0.0
279	County	Anson	Other Non-Hispanic	2016	Number	0.0
280	County	Anson	Hispanic	2016	Number	0.0
281	County	Anson	Total	2016	Number	2.0
282	County	Anson	Non-Hispanic White	2016	Rate	0.0
283	County	Anson	Non-Hispanic African American	2016	Rate	14.5
284	County	Anson	Non-Hispanic American Indian	2016	Rate	0.0
285	County	Anson	Other Non-Hispanic	2016	Rate	0.0
286	County	Anson	Hispanic	2016	Rate	0.0
287	County	Anson	Total	2016	Rate	7.5
288	County	Anson	Non-Hispanic White	2017	Number	0.0
289	County	Anson	Non-Hispanic White	2017	Rate	0.0
290	County	Anson	Non-Hispanic African American	2017	Number	1.0
291	County	Anson	Non-Hispanic African American	2017	Rate	7.1
292	County	Anson	Non-Hispanic American Indian	2017	Number	0.0
293	County	Anson	Non-Hispanic American Indian	2017	Rate	0.0
294	County	Anson	Other Non-Hispanic	2017	Number	0.0
295	County	Anson	Other Non-Hispanic	2017	Rate	0.0
296	County	Anson	Hispanic	2017	Number	0.0
297	County	Anson	Hispanic	2017	Rate	0.0
298	County	Anson	Total	2017	Number	1.0
299	County	Anson	Total	2017	Rate	3.9
300	County	Ashe	Non-Hispanic White	2013	Number	3.0
301	County	Ashe	Non-Hispanic African American	2013	Number	0.0
302	County	Ashe	Non-Hispanic American Indian	2013	Number	0.0
303	County	Ashe	Other Non-Hispanic	2013	Number	0.0
304	County	Ashe	Hispanic	2013	Number	0.0
305	County	Ashe	Total	2013	Number	3.0
306	County	Ashe	Non-Hispanic White	2013	Rate	13.5
307	County	Ashe	Non-Hispanic African American	2013	Rate	0.0
308	County	Ashe	Non-Hispanic American Indian	2013	Rate	0.0
309	County	Ashe	Other Non-Hispanic	2013	Rate	0.0
310	County	Ashe	Hispanic	2013	Rate	0.0
311	County	Ashe	Total	2013	Rate	12.2
312	County	Ashe	Non-Hispanic White	2014	Number	0.0
313	County	Ashe	Non-Hispanic African American	2014	Number	0.0
314	County	Ashe	Non-Hispanic American Indian	2014	Number	0.0
315	County	Ashe	Other Non-Hispanic	2014	Number	0.0
316	County	Ashe	Hispanic	2014	Number	1.0
317	County	Ashe	Total	2014	Number	1.0
318	County	Ashe	Non-Hispanic White	2014	Rate	0.0
319	County	Ashe	Non-Hispanic African American	2014	Rate	0.0
320	County	Ashe	Non-Hispanic American Indian	2014	Rate	0.0
321	County	Ashe	Other Non-Hispanic	2014	Rate	0.0
322	County	Ashe	Hispanic	2014	Rate	47.6
323	County	Ashe	Total	2014	Rate	4.5
324	County	Ashe	Non-Hispanic White	2015	Number	1.0
325	County	Ashe	Non-Hispanic African American	2015	Number	0.0
326	County	Ashe	Non-Hispanic American Indian	2015	Number	0.0
327	County	Ashe	Other Non-Hispanic	2015	Number	0.0
328	County	Ashe	Hispanic	2015	Number	0.0
329	County	Ashe	Total	2015	Number	1.0
330	County	Ashe	Non-Hispanic White	2015	Rate	5.2
331	County	Ashe	Non-Hispanic African American	2015	Rate	0.0
332	County	Ashe	Non-Hispanic American Indian	2015	Rate	0.0
333	County	Ashe	Other Non-Hispanic	2015	Rate	0.0
334	County	Ashe	Hispanic	2015	Rate	0.0
335	County	Ashe	Total	2015	Rate	4.7
336	County	Ashe	Non-Hispanic White	2016	Number	0.0
337	County	Ashe	Non-Hispanic African American	2016	Number	0.0
338	County	Ashe	Non-Hispanic American Indian	2016	Number	0.0
339	County	Ashe	Other Non-Hispanic	2016	Number	0.0
340	County	Ashe	Hispanic	2016	Number	1.0
341	County	Ashe	Total	2016	Number	1.0
342	County	Ashe	Non-Hispanic White	2016	Rate	0.0
343	County	Ashe	Non-Hispanic African American	2016	Rate	0.0
344	County	Ashe	Non-Hispanic American Indian	2016	Rate	0.0
345	County	Ashe	Other Non-Hispanic	2016	Rate	0.0
346	County	Ashe	Hispanic	2016	Rate	52.6
347	County	Ashe	Total	2016	Rate	4.8
348	County	Ashe	Non-Hispanic White	2017	Number	2.0
349	County	Ashe	Non-Hispanic White	2017	Rate	10.7
350	County	Ashe	Non-Hispanic African American	2017	Number	0.0
351	County	Ashe	Non-Hispanic African American	2017	Rate	0.0
352	County	Ashe	Non-Hispanic American Indian	2017	Number	0.0
353	County	Ashe	Non-Hispanic American Indian	2017	Rate	0.0
354	County	Ashe	Other Non-Hispanic	2017	Number	0.0
355	County	Ashe	Other Non-Hispanic	2017	Rate	0.0
356	County	Ashe	Hispanic	2017	Number	0.0
357	County	Ashe	Hispanic	2017	Rate	0.0
358	County	Ashe	Total	2017	Number	2.0
359	County	Ashe	Total	2017	Rate	9.3
360	County	Avery	Non-Hispanic White	2013	Number	1.0
361	County	Avery	Non-Hispanic African American	2013	Number	0.0
362	County	Avery	Non-Hispanic American Indian	2013	Number	0.0
363	County	Avery	Other Non-Hispanic	2013	Number	0.0
364	County	Avery	Hispanic	2013	Number	0.0
365	County	Avery	Total	2013	Number	1.0
366	County	Avery	Non-Hispanic White	2013	Rate	7.5
367	County	Avery	Non-Hispanic African American	2013	Rate	0.0
368	County	Avery	Non-Hispanic American Indian	2013	Rate	0.0
369	County	Avery	Other Non-Hispanic	2013	Rate	0.0
370	County	Avery	Hispanic	2013	Rate	0.0
371	County	Avery	Total	2013	Rate	6.6
372	County	Avery	Non-Hispanic White	2014	Number	1.0
373	County	Avery	Non-Hispanic African American	2014	Number	0.0
374	County	Avery	Non-Hispanic American Indian	2014	Number	0.0
375	County	Avery	Other Non-Hispanic	2014	Number	0.0
376	County	Avery	Hispanic	2014	Number	0.0
377	County	Avery	Total	2014	Number	1.0
378	County	Avery	Non-Hispanic White	2014	Rate	10.1
379	County	Avery	Non-Hispanic African American	2014	Rate	0.0
380	County	Avery	Non-Hispanic American Indian	2014	Rate	0.0
381	County	Avery	Other Non-Hispanic	2014	Rate	0.0
382	County	Avery	Hispanic	2014	Rate	0.0
383	County	Avery	Total	2014	Rate	8.8
384	County	Avery	Non-Hispanic White	2015	Number	0.0
385	County	Avery	Non-Hispanic African American	2015	Number	0.0
386	County	Avery	Non-Hispanic American Indian	2015	Number	0.0
387	County	Avery	Other Non-Hispanic	2015	Number	0.0
388	County	Avery	Hispanic	2015	Number	2.0
389	County	Avery	Total	2015	Number	2.0
390	County	Avery	Non-Hispanic White	2015	Rate	0.0
391	County	Avery	Non-Hispanic African American	2015	Rate	0.0
392	County	Avery	Non-Hispanic American Indian	2015	Rate	0.0
393	County	Avery	Other Non-Hispanic	2015	Rate	0.0
394	County	Avery	Hispanic	2015	Rate	87.0
395	County	Avery	Total	2015	Rate	13.6
396	County	Avery	Non-Hispanic White	2016	Number	1.0
397	County	Avery	Non-Hispanic African American	2016	Number	0.0
398	County	Avery	Non-Hispanic American Indian	2016	Number	0.0
399	County	Avery	Other Non-Hispanic	2016	Number	0.0
400	County	Avery	Hispanic	2016	Number	0.0
401	County	Avery	Total	2016	Number	1.0
402	County	Avery	Non-Hispanic White	2016	Rate	7.9
403	County	Avery	Non-Hispanic African American	2016	Rate	0.0
404	County	Avery	Non-Hispanic American Indian	2016	Rate	0.0
405	County	Avery	Other Non-Hispanic	2016	Rate	0.0
406	County	Avery	Hispanic	2016	Rate	0.0
407	County	Avery	Total	2016	Rate	6.7
408	County	Avery	Non-Hispanic White	2017	Number	1.0
409	County	Avery	Non-Hispanic White	2017	Rate	10.2
410	County	Avery	Non-Hispanic African American	2017	Number	0.0
411	County	Avery	Non-Hispanic African American	2017	Rate	0.0
412	County	Avery	Non-Hispanic American Indian	2017	Number	0.0
413	County	Avery	Non-Hispanic American Indian	2017	Rate	0.0
414	County	Avery	Other Non-Hispanic	2017	Number	0.0
415	County	Avery	Other Non-Hispanic	2017	Rate	0.0
416	County	Avery	Hispanic	2017	Number	0.0
417	County	Avery	Hispanic	2017	Rate	0.0
418	County	Avery	Total	2017	Number	1.0
419	County	Avery	Total	2017	Rate	9.2
420	County	Beaufort	Non-Hispanic White	2013	Number	3.0
421	County	Beaufort	Non-Hispanic African American	2013	Number	2.0
422	County	Beaufort	Non-Hispanic American Indian	2013	Number	0.0
423	County	Beaufort	Other Non-Hispanic	2013	Number	0.0
424	County	Beaufort	Hispanic	2013	Number	0.0
425	County	Beaufort	Total	2013	Number	5.0
426	County	Beaufort	Non-Hispanic White	2013	Rate	12.4
427	County	Beaufort	Non-Hispanic African American	2013	Rate	12.1
428	County	Beaufort	Non-Hispanic American Indian	2013	Rate	0.0
429	County	Beaufort	Other Non-Hispanic	2013	Rate	0.0
430	County	Beaufort	Hispanic	2013	Rate	0.0
431	County	Beaufort	Total	2013	Rate	10.2
432	County	Beaufort	Non-Hispanic White	2014	Number	2.0
433	County	Beaufort	Non-Hispanic African American	2014	Number	6.0
434	County	Beaufort	Non-Hispanic American Indian	2014	Number	0.0
435	County	Beaufort	Other Non-Hispanic	2014	Number	0.0
436	County	Beaufort	Hispanic	2014	Number	0.0
437	County	Beaufort	Total	2014	Number	8.0
438	County	Beaufort	Non-Hispanic White	2014	Rate	8.4
439	County	Beaufort	Non-Hispanic African American	2014	Rate	40.5
440	County	Beaufort	Non-Hispanic American Indian	2014	Rate	0.0
441	County	Beaufort	Other Non-Hispanic	2014	Rate	0.0
442	County	Beaufort	Hispanic	2014	Rate	0.0
443	County	Beaufort	Total	2014	Rate	17.9
444	County	Beaufort	Non-Hispanic White	2015	Number	5.0
445	County	Beaufort	Non-Hispanic African American	2015	Number	1.0
446	County	Beaufort	Non-Hispanic American Indian	2015	Number	0.0
447	County	Beaufort	Other Non-Hispanic	2015	Number	0.0
448	County	Beaufort	Hispanic	2015	Number	2.0
449	County	Beaufort	Total	2015	Number	8.0
450	County	Beaufort	Non-Hispanic White	2015	Rate	19.2
451	County	Beaufort	Non-Hispanic African American	2015	Rate	6.5
452	County	Beaufort	Non-Hispanic American Indian	2015	Rate	0.0
453	County	Beaufort	Other Non-Hispanic	2015	Rate	0.0
454	County	Beaufort	Hispanic	2015	Rate	30.8
455	County	Beaufort	Total	2015	Rate	16.5
456	County	Beaufort	Non-Hispanic White	2016	Number	1.0
457	County	Beaufort	Non-Hispanic African American	2016	Number	2.0
458	County	Beaufort	Non-Hispanic American Indian	2016	Number	0.0
459	County	Beaufort	Other Non-Hispanic	2016	Number	0.0
460	County	Beaufort	Hispanic	2016	Number	0.0
461	County	Beaufort	Total	2016	Number	3.0
462	County	Beaufort	Non-Hispanic White	2016	Rate	4.4
463	County	Beaufort	Non-Hispanic African American	2016	Rate	14.8
464	County	Beaufort	Non-Hispanic American Indian	2016	Rate	0.0
465	County	Beaufort	Other Non-Hispanic	2016	Rate	0.0
466	County	Beaufort	Hispanic	2016	Rate	0.0
467	County	Beaufort	Total	2016	Rate	7.0
468	County	Beaufort	Non-Hispanic White	2017	Number	1.0
469	County	Beaufort	Non-Hispanic White	2017	Rate	3.9
470	County	Beaufort	Non-Hispanic African American	2017	Number	3.0
471	County	Beaufort	Non-Hispanic African American	2017	Rate	20.0
472	County	Beaufort	Non-Hispanic American Indian	2017	Number	1.0
473	County	Beaufort	Non-Hispanic American Indian	2017	Rate	500.0
474	County	Beaufort	Other Non-Hispanic	2017	Number	0.0
475	County	Beaufort	Other Non-Hispanic	2017	Rate	0.0
476	County	Beaufort	Hispanic	2017	Number	0.0
477	County	Beaufort	Hispanic	2017	Rate	0.0
478	County	Beaufort	Total	2017	Number	5.0
479	County	Beaufort	Total	2017	Rate	10.6
480	County	Bertie	Non-Hispanic White	2013	Number	0.0
481	County	Bertie	Non-Hispanic African American	2013	Number	2.0
482	County	Bertie	Non-Hispanic American Indian	2013	Number	0.0
483	County	Bertie	Other Non-Hispanic	2013	Number	0.0
484	County	Bertie	Hispanic	2013	Number	0.0
485	County	Bertie	Total	2013	Number	2.0
486	County	Bertie	Non-Hispanic White	2013	Rate	0.0
