GeoArea_FIPS	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Code	Economic_Measure_Name	Data_Period_Business_Key	Estimated_Value	Estimation_Qualifier	Unit_of_Measure_Code	Default_Scale	Data_Period_Type	Data_Period_Name	Data_Period_Begin_Datetime	Calculation_Type
37075	Graham County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990	3440.583333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37077	Granville County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990	19646.58333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37079	Greene County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990	7495.083333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37081	Guilford County, NC	Piedmont-Triad	Greensboro/High Point/Guilford	FRED_LFN_00000	Civilian Labor Force by County	1990	200621.8333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37083	Halifax County, NC	Northeast	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1990	23886.33333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37085	Harnett County, NC	North Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1990	31620.08333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37087	Haywood County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990	22992.41666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37089	Henderson County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1990	32414.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37091	Hertford County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1990	10102.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37093	Hoke County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1990	9720.583333333334		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37095	Hyde County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990	2564.083333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37097	Iredell County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990	52397.91666666666		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37099	Jackson County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990	13595.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37101	Johnston County, NC	North Central		FRED_LFN_00000	Civilian Labor Force by County	1990	44653.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37103	Jones County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990	4422.166666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37105	Lee County, NC	North Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1990	21231.08333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37107	Lenoir County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990	28261.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37109	Lincoln County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990	28147.66666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37113	Macon County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990	11118.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37115	Madison County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1990	8215.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37117	Martin County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1990	12178.166666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37111	McDowell County, NC	Northwest	Region C	FRED_LFN_00000	Civilian Labor Force by County	1990	18990.58333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37119	Mecklenburg County, NC	Southwest		FRED_LFN_00000	Civilian Labor Force by County	1990	298112.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37121	Mitchell County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990	6935.333333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37123	Montgomery County, NC	South Central	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1990	12071.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37125	Moore County, NC	South Central	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1990	27839.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37127	Nash County, NC	North Central	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1990	41427.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37129	New Hanover County, NC	Southeast	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1990	65543.83333333331		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37131	Northampton County, NC	Northeast	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1990	8655.333333333334		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37133	Onslow County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990	41593.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37135	Orange County, NC	North Central	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1990	53321.33333333334		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37137	Pamlico County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990	5048.583333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37139	Pasquotank County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990	13601.333333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37141	Pender County, NC	Southeast	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1990	13730.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37143	Perquimans County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990	4493.333333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37145	Person County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990	16696.083333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37147	Pitt County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1990	57235.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37149	Polk County, NC	Western	Region C	FRED_LFN_00000	Civilian Labor Force by County	1990	6926.166666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37151	Randolph County, NC	Piedmont-Triad	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1990	63110.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37153	Richmond County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1990	22408.58333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37155	Robeson County, NC			FRED_LFN_00000	Civilian Labor Force by County	1990	49199.33333333334		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37157	Rockingham County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990	46705.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37159	Rowan County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990	58514.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37161	Rutherford County, NC	Western	Region C	FRED_LFN_00000	Civilian Labor Force by County	1990	30321.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37163	Sampson County, NC	South Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1990	23625.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37165	Scotland County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1990	16598.833333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37167	Stanly County, NC	Southwest		FRED_LFN_00000	Civilian Labor Force by County	1990	28394.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37169	Stokes County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990	20461.58333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37171	Surry County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990	33750.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37173	Swain County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990	5806.416666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37175	Transylvania County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1990	11720.416666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37177	Tyrrell County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990	1874.166666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37179	Union County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990	46314.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37181	Vance County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990	20350.83333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37183	Wake County, NC	North Central	Capital Area	FRED_LFN_00000	Civilian Labor Force by County	1990	254507.66666666663		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37185	Warren County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990	7461.583333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37187	Washington County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990	6170.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37189	Watauga County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990	19783.08333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37191	Wayne County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990	47997.66666666666		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37193	Wilkes County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990	31785.91666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37195	Wilson County, NC	North Central	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1990	35240.666666666664		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37197	Yadkin County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990	16442.583333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37199	Yancey County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990	6716.833333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37001	Alamance County, NC	Piedmont-Triad	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1991	62239.91666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37003	Alexander County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991	16384.833333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37005	Alleghany County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1991	4971.583333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37007	Anson County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1991	12145.833333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37009	Ashe County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1991	11618.0		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37011	Avery County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1991	7324.333333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37013	Beaufort County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1991	20453.0		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37015	Bertie County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1991	9123.75		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37017	Bladen County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1991	13703.5		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37019	Brunswick County, NC	Southeast	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1991	25884.91666666667		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37021	Buncombe County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1991	94656.16666666669		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37023	Burke County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991	42217.66666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37025	Cabarrus County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1991	55623.16666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37027	Caldwell County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991	40931.0		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37029	Camden County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991	2754.666666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37031	Carteret County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1991	26386.58333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37033	Caswell County, NC	Piedmont-Triad	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1991	11075.333333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37035	Catawba County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991	72614.91666666669		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37037	Chatham County, NC	North Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1991	22816.25		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37039	Cherokee County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1991	9256.416666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37041	Chowan County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991	6255.083333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37043	Clay County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1991	3212.833333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37045	Cleveland County, NC	Southwest	Region C	FRED_LFN_00000	Civilian Labor Force by County	1991	46486.91666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37047	Columbus County, NC	South Central	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1991	23939.83333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37049	Craven County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1991	34328.5		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37051	Cumberland County, NC	South Central	Cumberland County	FRED_LFN_00000	Civilian Labor Force by County	1991	107304.58333333331		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37053	Currituck County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991	7238.083333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37055	Dare County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991	14610.166666666668		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37057	Davidson County, NC	Piedmont-Triad	DavidsonWorks, Inc.	FRED_LFN_00000	Civilian Labor Force by County	1991	73845.66666666669		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37059	Davie County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991	15666.833333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37061	Duplin County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1991	20626.25		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37063	Durham County, NC	North Central	Durham	FRED_LFN_00000	Civilian Labor Force by County	1991	103496.75		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37065	Edgecombe County, NC	North Central	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1991	28762.66666666667		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37067	Forsyth County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991	144690.25		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37069	Franklin County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1991	19537.5		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37071	Gaston County, NC	Southwest	Gaston County	FRED_LFN_00000	Civilian Labor Force by County	1991	96092.5		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37073	Gates County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991	4140.083333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37075	Graham County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1991	3652.666666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37077	Granville County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1991	19539.75		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37079	Greene County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1991	7696.666666666668		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37081	Guilford County, NC	Piedmont-Triad	Greensboro/High Point/Guilford	FRED_LFN_00000	Civilian Labor Force by County	1991	202997.0833333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37083	Halifax County, NC	Northeast	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1991	24323.33333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37085	Harnett County, NC	North Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1991	31583.91666666667		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37087	Haywood County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1991	23942.33333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37089	Henderson County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1991	32777.166666666664		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37091	Hertford County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1991	10182.25		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37093	Hoke County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1991	9764.333333333334		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37095	Hyde County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991	2760.166666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37097	Iredell County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1991	53787.25		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37099	Jackson County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1991	13684.666666666668		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37101	Johnston County, NC	North Central		FRED_LFN_00000	Civilian Labor Force by County	1991	46153.91666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37103	Jones County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1991	4455.083333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37105	Lee County, NC	North Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1991	22094.0		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37107	Lenoir County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1991	28799.66666666667		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37109	Lincoln County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1991	28354.33333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37113	Macon County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1991	11596.416666666668		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37115	Madison County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1991	8524.083333333334		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
37117	Martin County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1991	13047.916666666668		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
