Series ID	Region Name	Region Code	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
ATNHPIUS37063A	Durham County, NC	37063	28.9	29.65	31.56	33.51	38.46	41.86	45.33	48.58	50.85	55.19	59.18	63.28	68.31	71.36	71.94	72.69	73.12	74.9	75.55	77.33	81.0	84.38	88.48	91.36	95.04	100	104.04	106.75	107.55	111.08	115.46	119.38	124.4	126.18	124.7	121.94	118.57	117.55	119.32	126.26	130.61	139.21	152.67	166.02	175.41
ATNHPIUS37065A	Edgecombe County, NC	37065					58.43	63.42	63.87	52.73	66.63	66.35	68.19	71.13	70.05	71.24	73.48	78.84	75.36	77.16	76.22	78.78	81.05	85.1	88.92	91.66	95.86	100	105.74	110.41	110.33	109.13	109.8	117.04	118.96	116.06	114.96	112.35	114.22	111.58	110.13	106.0	112.23	106.22	109.63	118.52	116.67
ATNHPIUS37067A	Forsyth County, NC	37067	34.04	33.54	36.41	38.75	44.86	46.8	52.16	52.47	55.13	58.47	61.45	64.86	67.52	70.91	72.06	73.41	74.77	75.61	77.28	80.19	84.55	87.12	90.09	93.27	96.01	100	104.4	106.34	107.33	110.56	114.71	119.51	121.16	120.76	118.94	115.72	113.16	110.37	109.56	109.51	114.11	116.93	121.08	128.64	134.48
ATNHPIUS37069A	Franklin County, NC	37069												59.54	62.34	68.11	66.97	71.95	70.2	72.49	75.67	78.14	84.15	86.28	89.66	92.65	95.8	100	102.4	103.96	104.7	106.02	111.02	114.95	118.91	119.12	115.61	110.59	108.03	102.3	105.77	108.17	109.65	114.46	123.23	129.71	138.19
ATNHPIUS37071A	Gaston County, NC	37071	30.2	29.67	33.11	35.39	40.79	44.34	45.21	45.27	50.29	54.86	54.99	58.58	60.76	65.59	69.71	71.11	73.32	73.94	75.14	76.16	80.29	83.93	87.33	91.74	95.2	100	103.74	105.2	106.76	108.29	110.34	114.29	118.62	119.88	116.93	110.35	105.49	103.46	105.55	109.07	112.24	117.94	126.44	138.28	148.38
ATNHPIUS37073A	Gates County, NC	37073																										100	97.33	104.27	104.46	117.14	131.36	153.11	165.91	154.81	152.01	142.65	134.99	136.7	127.96	136.22	134.8	125.51	138.18	140.05	143.76
ATNHPIUS37075A	Graham County, NC	37075																									103.09	100	108.32	113.93	117.54	124.67	139.06	158.2	164.39	159.8	152.53	143.78	132.74	120.62	121.1	119.24	125.42	131.08	139.33	149.53	139.53
ATNHPIUS37077A	Granville County, NC	37077												54.69	59.74	63.08	64.6	66.1	67.96	69.41	71.24	74.12	81.9	83.06	86.72	90.35	94.44	100	103.13	104.45	105.19	106.53	108.81	114.52	118.12	118.53	114.55	111.35	107.35	106.1	105.38	106.41	108.68	110.84	118.06	125.22	130.91
ATNHPIUS37079A	Greene County, NC	37079																								90.79	100.2	100	106.49	106.82	108.96	110.42	118.6	121.89	129.0	130.73	123.61	127.56	117.84	114.77	122.85	132.2	121.16	117.43	127.58	128.83	136.32
ATNHPIUS37081A	Guilford County, NC	37081	30.38	31.99	36.29	40.07	45.09	47.44	49.62	52.68	54.19	59.19	62.99	65.84	69.64	73.17	74.35	75.09	76.34	77.73	78.62	80.81	83.8	86.88	90.33	92.89	95.74	100	103.17	104.81	105.89	108.71	112.16	116.04	118.8	118.34	116.31	111.49	107.9	105.55	106.82	108.15	109.86	114.11	118.45	123.99	129.88
ATNHPIUS37083A	Halifax County, NC	37083												66.78	67.49	72.16	72.8	74.08	76.24	77.43	78.67	81.21	83.9	87.62	87.9	91.52	94.81	100	103.58	106.09	109.31	111.87	120.33	132.13	141.63	144.46	138.87	128.83	125.55	121.47	118.81	119.66	117.07	119.59	123.78	127.6	134.77
ATNHPIUS37085A	Harnett County, NC	37085												59.64	62.49	69.07	67.76	66.16	71.28	71.69	73.53	75.82	84.61	85.94	89.4	93.32	97.28	100	103.45	105.4	106.26	108.84	111.09	117.45	122.24	124.47	121.2	117.56	115.2	111.66	112.84	114.37	117.82	121.65	125.63	130.97	140.71
ATNHPIUS37087A	Haywood County, NC	37087												53.97	54.86	58.76	60.7	61.23	63.5	65.68	65.58	65.91	75.3	78.27	85.48	90.1	93.72	100	104.5	109.82	113.23	118.05	129.79	143.24	152.36	149.98	147.77	135.85	129.83	125.05	123.31	125.79	127.27	132.27	143.38	149.05	155.74
ATNHPIUS37089A	Henderson County, NC	37089			34.88	38.35	42.01	43.6	45.64	48.29	49.8	53.67	56.42	57.47	60.56	62.11	65.75	67.25	68.97	72.85	74.04	75.06	78.67	82.58	85.93	90.67	93.88	100	104.87	108.33	111.72	117.12	126.41	141.0	150.93	151.44	146.96	137.74	130.98	124.08	125.48	129.63	135.06	143.7	153.08	165.07	173.53
ATNHPIUS37091A	Hertford County, NC	37091												64.38	58.38	66.62	70.25	71.04	75.23	70.99	73.5	76.35	75.03	79.29	81.99	87.55	92.95	100	101.63	102.73	105.2	107.3	116.71	129.15	128.37	136.68	132.7	126.86	124.46	118.23	121.74	110.02	123.62	112.73	130.78	122.51	131.06
ATNHPIUS37093A	Hoke County, NC	37093																					86.16	95.99	95.11	97.09	99.42	100	105.16	105.34	106.93	112.97	119.61	129.69	132.36	132.55	134.81	134.44	131.02	128.65	125.62	125.07	130.0	124.04	130.08	133.84	143.65
ATNHPIUS37097A	Iredell County, NC	37097	30.46	33.46	33.56	38.74	40.64	45.56	44.18	43.53	50.78	53.17	55.24	58.28	60.98	63.42	66.78	70.25	72.27	73.95	76.15	78.25	80.63	85.08	88.58	92.72	95.87	100	104.37	106.53	107.64	110.57	115.04	124.9	132.75	135.02	130.07	119.12	114.44	111.01	113.06	116.67	121.28	125.72	131.08	138.42	144.95
ATNHPIUS37099A	Jackson County, NC	37099																						77.78	84.86	85.06	89.88	100	104.78	108.18	113.75	119.46	132.1	146.81	155.4	159.41	155.25	144.13	139.23	130.16	129.63	131.46	131.3	129.74	131.9	139.62	148.64
ATNHPIUS37101A	Johnston County, NC	37101											60.48	64.28	65.52	66.41	70.74	71.63	71.97	73.0	74.77	79.56	85.27	87.51	91.64	94.82	97.29	100	103.31	104.4	104.47	105.45	107.62	113.63	118.11	118.19	114.91	111.31	108.26	106.06	106.68	109.7	113.28	117.77	125.58	132.62	141.88
ATNHPIUS37103A	Jones County, NC	37103																		80.22	79.75	77.62	86.39	88.51	92.94	92.98	94.31	100	99.03	103.6	104.31	109.76	120.01	128.98	134.81	138.61	134.13	128.78	122.9	114.42	120.41	106.33	110.83	120.0	127.81	115.97	120.06
ATNHPIUS37105A	Lee County, NC	37105											60.79	63.95	65.37	68.7	70.87	70.57	73.73	74.37	76.32	79.67	83.61	87.86	90.56	94.61	96.76	100	103.53	105.31	106.92	109.54	113.55	120.3	123.84	124.69	122.6	117.84	114.82	113.51	111.76	108.96	116.18	114.93	119.96	128.25	135.48
ATNHPIUS37107A	Lenoir County, NC	37107			45.95	52.05	57.2	67.02	0.0	57.11	57.57	61.64	64.95	66.57	66.48	72.62	77.16	75.04	76.93	79.79	81.14	84.24	86.49	90.16	91.38	95.21	96.56	100	105.16	106.55	105.5	106.67	109.06	112.67	116.07	115.97	114.31	114.28	110.2	106.65	107.55	103.53	104.99	105.75	105.79	108.63	109.34
ATNHPIUS37109A	Lincoln County, NC	37109												53.45	56.21	64.28	63.58	66.59	66.37	70.27	73.32	75.33	78.24	82.68	86.76	90.52	93.76	100	104.19	106.38	106.45	109.49	113.97	124.08	130.19	135.05	132.72	122.05	116.44	114.21	116.43	121.53	124.86	129.59	138.58	145.85	153.89
ATNHPIUS37113A	Macon County, NC	37113																					74.56	76.79	81.24	88.19	94.09	100	107.39	112.35	116.7	124.43	133.49	145.98	157.9	160.82	151.8	137.71	130.67	120.88	119.18	117.76	122.19	125.65	129.73	135.69	143.62
ATNHPIUS37115A	Madison County, NC	37115																								90.62	92.63	100	104.48	108.11	111.09	113.97	122.86	137.17	149.75	143.01	140.7	132.57	127.17	121.32	125.21	124.72	133.04	137.85	143.17	147.9	153.88
ATNHPIUS37117A	Martin County, NC	37117																			73.77	77.45	83.62	86.88	87.72	89.17	95.73	100	106.35	109.39	110.42	118.07	118.24	127.14	131.77	137.58	132.94	137.32	133.9	125.65	126.1	120.61	119.89	128.82	126.13	133.99	125.95
ATNHPIUS37111A	McDowell County, NC	37111																		71.11	70.06	73.34	79.42	81.83	83.67	86.4	90.65	100	97.84	99.67	104.07	110.82	116.19	122.98	134.91	134.41	130.35	124.94	120.67	117.55	114.93	120.28	120.1	128.33	133.92	138.75	147.24
ATNHPIUS37119A	Mecklenburg County, NC	37119	26.52	28.98	31.08	34.99	39.31	43.53	47.27	49.07	48.29	53.31	56.38	58.42	62.43	67.12	70.33	71.34	72.17	72.93	73.5	75.57	79.87	84.34	88.8	92.31	95.99	100	103.52	105.17	106.28	108.76	114.75	123.48	132.66	135.51	129.52	118.99	114.03	111.72	117.21	125.52	133.02	144.3	157.91	172.03	180.14
ATNHPIUS37121A	Mitchell County, NC	37121																									99.58	100	110.48	114.28	117.08	122.49	127.01	138.13	149.14	145.08	149.53	147.88	140.71	131.47	134.53	134.54	129.79	137.5	138.07	135.79	140.13
ATNHPIUS37123A	Montgomery County, NC	37123																						85.49	83.45	85.61	92.2	100	106.92	109.44	109.03	116.4	118.45	135.62	138.35	146.42	141.78	138.23	128.01	131.04	122.46	127.58	128.27	133.86	134.3	140.66	147.36
ATNHPIUS37125A	Moore County, NC	37125											66.6	64.3	65.44	64.65	72.66	70.78	73.89	74.91	75.49	79.2	83.61	87.11	90.48	93.56	96.86	100	104.22	106.32	108.32	113.07	120.09	128.68	136.07	139.71	137.95	133.96	129.27	128.14	126.79	127.47	129.14	133.99	136.46	142.58	148.18
ATNHPIUS37127A	Nash County, NC	37127	39.13	40.16	44.71	48.56	51.51	57.11	52.27	59.28	63.44	64.97	67.33	69.08	70.12	72.8	74.1	76.39	77.43	78.14	79.4	81.14	85.02	87.44	91.36	94.24	96.68	100	103.52	105.38	107.31	108.57	110.67	113.88	115.37	116.7	115.49	109.23	105.68	103.77	103.08	101.62	101.32	104.22	106.26	108.59	115.4
ATNHPIUS37129A	New Hanover County, NC	37129	27.6	30.11	31.55	27.86	33.0	36.7	42.01	42.1	46.7	46.98	51.78	54.48	56.34	59.59	61.96	64.01	66.1	68.19	70.65	75.19	81.7	87.08	92.5	96.14	98.74	100	103.87	105.91	107.21	114.06	134.33	159.3	168.16	165.4	154.98	140.27	131.32	124.02	125.56	131.08	136.69	143.35	153.8	164.06	175.07
ATNHPIUS37131A	Northampton County, NC	37131																			70.58	77.91	81.5	86.9	90.43	90.12	96.37	100	104.04	112.59	103.96	124.96	132.5	146.58	154.31	153.74	147.55	142.24	132.5	127.25	126.91	130.52	124.0	120.58	115.27	126.95	127.35
ATNHPIUS37133A	Onslow County, NC	37133										71.42	73.54	78.55	78.43	78.31	77.77	76.6	78.82	79.76	80.6	81.99	84.26	86.09	90.88	94.15	96.26	100	104.48	106.53	110.37	116.96	130.75	146.11	158.79	160.02	159.97	155.93	149.8	142.39	142.19	132.14	131.06	134.74	137.07	142.13	157.55
ATNHPIUS37135A	Orange County, NC	37135	24.17	26.11	28.57	32.0	36.49	37.09	40.82	44.35	45.21	48.87	52.21	55.38	58.98	63.58	64.36	64.85	66.61	68.86	70.89	73.93	80.84	82.66	88.16	90.98	94.75	100	104.46	108.13	109.83	115.72	123.61	132.15	138.78	141.04	139.13	134.43	131.89	130.49	132.02	135.73	139.48	143.43	152.37	159.91	167.75
ATNHPIUS37137A	Pamlico County, NC	37137																		81.14	77.02	82.19	93.7	92.4	96.41	100.31	97.88	100	110.76	111.97	113.46	126.44	141.31	168.99	178.32	176.16	168.15	155.76	148.64	143.69	150.3	139.58	128.25	137.02	130.52	139.7	143.61
ATNHPIUS37139A	Pasquotank County, NC	37139											63.11	63.94	66.59	73.38	76.52	75.57	78.69	79.5	80.64	85.09	85.43	89.79	93.1	93.27	94.56	100	101.38	105.32	109.66	125.86	150.49	176.79	182.04	178.84	166.03	157.33	142.46	135.2	132.27	128.6	131.05	130.51	136.94	134.52	143.37
ATNHPIUS37141A	Pender County, NC	37141												56.3	56.69	58.33	61.11	62.19	64.09	65.0	67.06	70.36	76.69	82.07	86.6	92.54	95.07	100	104.53	106.69	109.91	121.73	139.91	164.12	170.21	165.58	157.16	147.63	136.92	130.08	129.35	134.06	135.41	142.41	150.57	160.02	164.9
ATNHPIUS37143A	Perquimans County, NC	37143																								101.23	97.82	100	110.71	115.16	117.3	134.93	144.74	173.37	178.78	180.8	174.74	158.1	149.59	151.55	145.68	143.43	148.43	149.31	145.69	148.89	142.72
ATNHPIUS37145A	Person County, NC	37145																		74.38	73.93	79.75	84.33	85.08	93.66	94.91	98.4	100	106.16	110.63	111.88	113.47	117.67	126.16	129.73	130.14	125.6	119.7	117.66	116.19	118.22	119.11	118.82	121.15	128.08	128.65	140.6
ATNHPIUS37147A	Pitt County, NC	37147	35.55	37.91	41.66	44.64	50.82	54.21	63.1	60.12	59.26	60.19	64.86	67.05	69.61	72.47	74.45	75.65	77.35	78.03	79.25	82.68	84.89	87.32	89.87	92.97	96.81	100	103.81	105.96	107.21	110.82	115.68	120.71	124.12	124.56	122.15	118.18	115.91	113.05	112.99	112.73	112.51	113.65	117.67	120.95	125.46
ATNHPIUS37149A	Polk County, NC	37149																		75.91	79.28	78.81	81.51	87.61	85.61	94.26	96.47	100	107.37	114.21	114.98	121.86	127.64	139.48	150.24	153.99	149.37	143.46	137.08	132.46	132.34	129.45	136.07	143.0	147.61	158.67	169.61
ATNHPIUS37151A	Randolph County, NC	37151		31.55	33.21	38.15	36.91	45.06	0.0	50.31	47.63	51.27	53.98	56.39	60.29	64.22	67.34	69.27	70.73	72.06	74.23	75.99	81.41	83.35	88.51	91.21	94.83	100	103.2	105.5	106.05	108.15	111.35	114.2	115.79	116.33	113.73	109.01	105.66	103.82	104.5	103.45	104.13	108.85	112.16	117.9	123.35
ATNHPIUS37153A	Richmond County, NC	37153												65.34	66.89	72.72	70.85	74.37	75.04	82.36	82.54	79.72	87.89	88.01	92.02	94.65	95.53	100	106.75	110.02	110.38	113.95	119.37	127.71	130.58	136.93	133.74	130.96	128.61	126.96	129.15	132.04	128.2	128.46	135.3	133.52	145.68
ATNHPIUS37155A	Robeson County, NC	37155												69.56	74.68	75.49	74.35	73.95	77.47	79.4	79.9	82.95	85.17	89.14	91.09	94.88	97.94	100	105.34	106.59	108.7	116.8	120.08	124.06	129.46	131.81	131.57	127.78	123.14	124.72	124.22	122.37	125.99	124.59	122.23	131.2	125.35
ATNHPIUS37157A	Rockingham County, NC	37157											59.63	58.73	62.71	61.07	68.25	63.84	69.55	71.16	72.51	76.13	79.37	82.24	87.95	90.4	95.21	100	103.47	106.64	108.06	109.67	115.4	116.75	119.72	120.9	118.16	113.69	110.77	109.31	109.67	110.96	111.73	111.88	114.28	117.82	123.05
ATNHPIUS37159A	Rowan County, NC	37159	31.05	30.13	35.56	36.9	40.67	44.44	46.42	42.79	49.16	51.22	51.64	55.33	58.25	61.97	61.08	65.36	66.94	69.36	71.69	73.21	79.02	83.2	87.95	91.88	95.78	100	104.52	106.37	108.07	108.61	112.75	116.25	123.3	124.73	121.12	115.38	109.64	105.73	105.28	107.73	111.16	116.52	122.07	131.33	136.35
ATNHPIUS37161A	Rutherford County, NC	37161															76.15	74.71	77.9	78.46	80.13	79.64	84.88	87.44	87.18	90.18	94.43	100	103.63	106.87	109.18	113.05	119.89	126.55	136.49	138.94	136.56	127.84	121.12	116.31	117.56	113.54	122.49	124.64	129.59	137.61	146.17
ATNHPIUS37163A	Sampson County, NC	37163																		73.48	74.74	80.32	81.73	86.55	92.35	95.16	97.23	100	106.02	107.21	108.16	112.72	120.33	126.41	130.44	132.68	133.55	129.14	125.33	124.64	127.34	128.83	126.65	130.27	137.14	138.74	141.01
ATNHPIUS37165A	Scotland County, NC	37165																	74.17	77.9	80.55	84.03	87.64	88.57	91.91	94.41	98.04	100	103.24	103.26	106.16	108.2	109.93	118.31	117.71	120.77	119.79	113.28	112.75	110.43	107.19	113.06	111.8	113.62	110.4	114.06	111.55
ATNHPIUS37167A	Stanly County, NC	37167												53.76	57.24	62.53	65.43	65.91	68.58	71.53	71.95	74.53	75.49	79.02	84.58	87.36	92.28	100	104.84	107.04	106.9	109.56	113.87	117.8	123.6	127.13	126.57	121.31	114.72	112.25	110.44	110.89	114.52	115.04	122.09	130.7	136.71
ATNHPIUS37169A	Stokes County, NC	37169				39.82	44.93	48.08	50.12	55.82	0.0	55.63	57.23	60.12	62.29	66.45	68.0	70.81	73.37	74.1	74.39	79.37	84.39	86.74	93.54	95.3	95.55	100	104.77	106.83	108.08	110.32	116.13	122.04	124.33	124.14	119.87	119.24	114.88	112.92	110.4	109.98	113.49	113.99	118.42	128.11	132.24
ATNHPIUS37171A	Surry County, NC	37171												52.99	57.55	55.79	59.66	62.34	65.83	67.61	69.79	72.78	79.17	82.97	88.72	92.0	95.36	100	102.72	104.74	105.97	108.02	112.48	116.09	120.4	123.28	120.06	114.56	112.19	113.18	109.42	110.04	111.17	116.9	116.28	121.38	126.76
ATNHPIUS37173A	Swain County, NC	37173																								88.37	93.62	100	106.04	110.67	115.63	123.56	140.02	146.23	163.42	167.47	159.01	143.64	140.26	132.04	132.69	125.47	126.38	127.44	136.65	149.82	150.14
ATNHPIUS37175A	Transylvania County, NC	37175												55.61	55.31	62.39	60.73	63.38	65.11	67.54	71.22	69.14	76.03	79.44	82.16	88.95	94.11	100	107.1	111.02	114.98	119.8	124.13	141.72	150.1	149.08	146.2	137.0	132.39	129.21	124.63	124.42	131.73	143.32	147.5	158.23	168.1
ATNHPIUS37179A	Union County, NC	37179			32.87	36.07	41.27	50.04	44.44	46.13	49.26	50.53	53.87	56.84	60.18	64.11	66.58	68.42	69.76	71.17	72.67	74.66	79.23	83.39	88.09	92.0	95.6	100	104.1	106.63	107.51	110.1	114.89	122.13	129.29	130.21	124.87	115.9	110.21	106.89	110.3	115.49	121.89	128.54	137.3	148.32	156.33
