	GeoArea_FIPS	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Code	Economic_Measure_Name	Data_Period_Business_Key	Estimated_Value	Estimation_Qualifier	Unit_of_Measure_Code	Default_Scale	Data_Period_Type	Data_Period_Name	Data_Period_Begin_Datetime	Calculation_Type
23	37047	Columbus County, NC	South Central	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1990.0	22215.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
24	37049	Craven County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	33728.833333333336		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
25	37051	Cumberland County, NC	South Central	Cumberland County	FRED_LFN_00000	Civilian Labor Force by County	1990.0	103547.08333333331		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
26	37053	Currituck County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	7003.083333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
27	37055	Dare County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	14153.333333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
28	37057	Davidson County, NC	Piedmont-Triad	DavidsonWorks, Inc.	FRED_LFN_00000	Civilian Labor Force by County	1990.0	73052.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
29	37059	Davie County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990.0	15741.666666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
30	37061	Duplin County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	19857.83333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
31	37063	Durham County, NC	North Central	Durham	FRED_LFN_00000	Civilian Labor Force by County	1990.0	102027.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
32	37065	Edgecombe County, NC	North Central	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1990.0	28251.91666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
33	37067	Forsyth County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990.0	145660.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
34	37069	Franklin County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990.0	18842.08333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
35	37071	Gaston County, NC	Southwest	Gaston County	FRED_LFN_00000	Civilian Labor Force by County	1990.0	95440.66666666669		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
36	37073	Gates County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	4080.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
37	37075	Graham County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	3440.583333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
38	37077	Granville County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990.0	19646.58333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
39	37079	Greene County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	7495.083333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
40	37081	Guilford County, NC	Piedmont-Triad	Greensboro/High Point/Guilford	FRED_LFN_00000	Civilian Labor Force by County	1990.0	200621.83333333328		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
41	37083	Halifax County, NC	Northeast	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1990.0	23886.33333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
42	37085	Harnett County, NC	North Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1990.0	31620.08333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
43	37087	Haywood County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	22992.41666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
44	37089	Henderson County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1990.0	32414.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
45	37091	Hertford County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1990.0	10102.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
46	37093	Hoke County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1990.0	9720.583333333334		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
47	37095	Hyde County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	2564.083333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
48	37097	Iredell County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	52397.91666666666		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
49	37099	Jackson County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	13595.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
50	37101	Johnston County, NC	North Central		FRED_LFN_00000	Civilian Labor Force by County	1990.0	44653.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
51	37103	Jones County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	4422.166666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
52	37105	Lee County, NC	North Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1990.0	21231.08333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
53	37107	Lenoir County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	28261.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
54	37109	Lincoln County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	28147.66666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
55	37113	Macon County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	11118.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
56	37115	Madison County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1990.0	8215.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
57	37117	Martin County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1990.0	12178.166666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
58	37111	McDowell County, NC	Northwest	Region C	FRED_LFN_00000	Civilian Labor Force by County	1990.0	18990.58333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
59	37119	Mecklenburg County, NC	Southwest		FRED_LFN_00000	Civilian Labor Force by County	1990.0	298112.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
60	37121	Mitchell County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990.0	6935.333333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
61	37123	Montgomery County, NC	South Central	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1990.0	12071.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
62	37125	Moore County, NC	South Central	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1990.0	27839.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
63	37127	Nash County, NC	North Central	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1990.0	41427.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
64	37129	New Hanover County, NC	Southeast	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1990.0	65543.83333333331		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
65	37131	Northampton County, NC	Northeast	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1990.0	8655.333333333334		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
66	37133	Onslow County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	41593.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
67	37135	Orange County, NC	North Central	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1990.0	53321.33333333334		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
68	37137	Pamlico County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	5048.583333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
69	37139	Pasquotank County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	13601.333333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
70	37141	Pender County, NC	Southeast	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1990.0	13730.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
71	37143	Perquimans County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	4493.333333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
72	37145	Person County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990.0	16696.083333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
73	37147	Pitt County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1990.0	57235.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
74	37149	Polk County, NC	Western	Region C	FRED_LFN_00000	Civilian Labor Force by County	1990.0	6926.166666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
75	37151	Randolph County, NC	Piedmont-Triad	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1990.0	63110.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
76	37153	Richmond County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1990.0	22408.58333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
77	37155	Robeson County, NC			FRED_LFN_00000	Civilian Labor Force by County	1990.0	49199.33333333334		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
78	37157	Rockingham County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990.0	46705.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
79	37159	Rowan County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	58514.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
80	37161	Rutherford County, NC	Western	Region C	FRED_LFN_00000	Civilian Labor Force by County	1990.0	30321.25		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
81	37163	Sampson County, NC	South Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1990.0	23625.5		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
82	37165	Scotland County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1990.0	16598.833333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
83	37167	Stanly County, NC	Southwest		FRED_LFN_00000	Civilian Labor Force by County	1990.0	28394.75		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
84	37169	Stokes County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990.0	20461.58333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
85	37171	Surry County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990.0	33750.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
86	37173	Swain County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	5806.416666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
87	37175	Transylvania County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1990.0	11720.416666666668		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
88	37177	Tyrrell County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	1874.166666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
89	37179	Union County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	46314.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
90	37181	Vance County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990.0	20350.83333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
91	37183	Wake County, NC	North Central	Capital Area	FRED_LFN_00000	Civilian Labor Force by County	1990.0	254507.66666666663		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
92	37185	Warren County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1990.0	7461.583333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
93	37187	Washington County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1990.0	6170.0		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
94	37189	Watauga County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990.0	19783.08333333333		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
95	37191	Wayne County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1990.0	47997.66666666666		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
96	37193	Wilkes County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990.0	31785.91666666667		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
97	37195	Wilson County, NC	North Central	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1990.0	35240.666666666664		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
98	37197	Yadkin County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1990.0	16442.583333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
99	37199	Yancey County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1990.0	6716.833333333332		PRS	0	YR	The Year 1990	01/1/1990 0:00	Level
100	37001	Alamance County, NC	Piedmont-Triad	Regional Partnership	FRED_LFN_00000	Civilian Labor Force by County	1991.0	62239.91666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
101	37003	Alexander County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991.0	16384.833333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
102	37005	Alleghany County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1991.0	4971.583333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
103	37007	Anson County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1991.0	12145.833333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
104	37009	Ashe County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1991.0	11618.0		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
105	37011	Avery County, NC	Northwest	High Country	FRED_LFN_00000	Civilian Labor Force by County	1991.0	7324.333333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
106	37013	Beaufort County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1991.0	20453.0		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
107	37015	Bertie County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1991.0	9123.75		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
108	37017	Bladen County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1991.0	13703.5		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
109	37019	Brunswick County, NC	Southeast	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1991.0	25884.91666666667		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
110	37021	Buncombe County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1991.0	94656.16666666669		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
111	37023	Burke County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991.0	42217.66666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
112	37025	Cabarrus County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1991.0	55623.16666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
113	37027	Caldwell County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991.0	40931.0		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
114	37029	Camden County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991.0	2754.666666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
115	37031	Carteret County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1991.0	26386.58333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
116	37033	Caswell County, NC	Piedmont-Triad	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1991.0	11075.333333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
117	37035	Catawba County, NC	Northwest	Western Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991.0	72614.91666666669		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
118	37037	Chatham County, NC	North Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1991.0	22816.25		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
119	37039	Cherokee County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1991.0	9256.416666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
120	37041	Chowan County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991.0	6255.083333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
121	37043	Clay County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1991.0	3212.833333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
122	37045	Cleveland County, NC	Southwest	Region C	FRED_LFN_00000	Civilian Labor Force by County	1991.0	46486.91666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
123	37047	Columbus County, NC	South Central	Cape Fear	FRED_LFN_00000	Civilian Labor Force by County	1991.0	23939.83333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
124	37049	Craven County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1991.0	34328.5		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
125	37051	Cumberland County, NC	South Central	Cumberland County	FRED_LFN_00000	Civilian Labor Force by County	1991.0	107304.58333333331		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
126	37053	Currituck County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991.0	7238.083333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
127	37055	Dare County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991.0	14610.166666666668		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
128	37057	Davidson County, NC	Piedmont-Triad	DavidsonWorks, Inc.	FRED_LFN_00000	Civilian Labor Force by County	1991.0	73845.66666666669		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
129	37059	Davie County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991.0	15666.833333333332		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
130	37061	Duplin County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1991.0	20626.25		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
131	37063	Durham County, NC	North Central	Durham	FRED_LFN_00000	Civilian Labor Force by County	1991.0	103496.75		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
132	37065	Edgecombe County, NC	North Central	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1991.0	28762.66666666667		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
133	37067	Forsyth County, NC	Piedmont-Triad	Northwest Piedmont	FRED_LFN_00000	Civilian Labor Force by County	1991.0	144690.25		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
134	37069	Franklin County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1991.0	19537.5		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
135	37071	Gaston County, NC	Southwest	Gaston County	FRED_LFN_00000	Civilian Labor Force by County	1991.0	96092.5		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
136	37073	Gates County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991.0	4140.083333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
137	37075	Graham County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1991.0	3652.666666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
138	37077	Granville County, NC	North Central	Kerr-Tar	FRED_LFN_00000	Civilian Labor Force by County	1991.0	19539.75		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
139	37079	Greene County, NC	Southeast	Eastern Carolina	FRED_LFN_00000	Civilian Labor Force by County	1991.0	7696.666666666668		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
140	37081	Guilford County, NC	Piedmont-Triad	Greensboro/High Point/Guilford	FRED_LFN_00000	Civilian Labor Force by County	1991.0	202997.08333333328		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
141	37083	Halifax County, NC	Northeast	Turning Point	FRED_LFN_00000	Civilian Labor Force by County	1991.0	24323.33333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
142	37085	Harnett County, NC	North Central	Triangle South	FRED_LFN_00000	Civilian Labor Force by County	1991.0	31583.91666666667		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
143	37087	Haywood County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1991.0	23942.33333333333		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
144	37089	Henderson County, NC	Western	Mountain Area	FRED_LFN_00000	Civilian Labor Force by County	1991.0	32777.166666666664		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
145	37091	Hertford County, NC	Northeast	Region Q	FRED_LFN_00000	Civilian Labor Force by County	1991.0	10182.25		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
146	37093	Hoke County, NC	South Central	Lumber River	FRED_LFN_00000	Civilian Labor Force by County	1991.0	9764.333333333334		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
147	37095	Hyde County, NC	Northeast	Northeastern	FRED_LFN_00000	Civilian Labor Force by County	1991.0	2760.166666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
148	37097	Iredell County, NC	Southwest	Centralina	FRED_LFN_00000	Civilian Labor Force by County	1991.0	53787.25		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
149	37099	Jackson County, NC	Western	Southwestern	FRED_LFN_00000	Civilian Labor Force by County	1991.0	13684.666666666668		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
150	37101	Johnston County, NC	North Central		FRED_LFN_00000	Civilian Labor Force by County	1991.0	46153.91666666666		PRS	0	YR	The Year 1991	01/1/1991 0:00	Level
